Velocity (m/s),Time (s),Model Speed (m/s),Acceleration (m/s2),Force (N),Force (N/kg),Power (W/kg),Ratio Force (%),F0 (N),F0 (N/kg),V0 (m/s),Pmax (W),Pmax (W/kg),FV Profile Slope,RFmax,Drf
6.18,1.2,6.655717992934779,3.6737303271388524,359.7499674208665,3.8271273129879413,25.472280118305974,0.29600190992935843,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
6.45,1.3,7.011491079260757,3.4441993037027365,339.75678468015616,3.6144338795761293,25.34257090322588,0.2808844181273555,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
6.8,1.4,7.345035816376623,3.229009150724759,321.0875952298428,3.4158254811685405,25.089360501674843,0.2665764876325995,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
7.11,1.5,7.657741009471967,3.027263864856795,303.6506176842976,3.2303257200457187,24.736997740346162,0.2530516264137254,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
7.52,1.6,7.95090869256699,2.838123424150329,287.3609017719968,3.0570308699148594,24.30617331705168,0.24028098710737822,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
7.96,1.7,8.225759549889009,2.660800290394187,272.1397687734326,2.8951039231216233,23.81442874353883,0.22823411814629482,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
8.34,1.8,8.483437998526762,2.4945561299827337,257.9143029911921,2.7437691807573623,23.27659572722365,0.21687959351301514,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
8.67,1.9,8.725016953525492,2.3386987396609724,244.61688911826647,2.602307331045388,22.705175581654686,0.20618553309452278,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
8.93,2.0,8.951502295263646,2.1925791643460344,232.1847909269261,2.4700509673077247,22.110666903273287,0.19612002625446795,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
9.2,2.1,9.163837057712295,2.055588995024325,220.55976719350653,2.34638050205858,21.501848596257993,0.1866514711182169,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
9.5,2.2,9.362905355016274,1.9271578354733707,209.68772121159975,2.2307204384212738,20.886024338438794,0.17774884144223066,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
9.74,2.3,9.549536062746428,1.8067509272603686,199.5183806339539,2.122535964190999,20.269233734518206,0.16938189201259346,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
9.96,2.4,9.72450626915087,1.6938669231284698,190.00500472760905,2.0213298375277557,19.65643467706037,0.16152131243469933,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.04,2.5,9.888544510775493,1.588035799499681,181.10411643249435,1.9266395365158973,19.051660813057314,0.15413883804089737,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.11,2.6,10.042333805926116,1.4888168994025057,172.7752568853574,1.838034647716568,18.45815747922759,0.1472073255252123,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.19,2.7,10.18651449860293,1.395797097675528,164.98076031242385,1.7551144714087643,17.878499009713195,0.14070079985835204,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.41,2.8,10.321686924748759,1.3085890808072518,157.6855474090685,1.6775058235007287,17.314689924617372,0.1345944780675419,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.64,2.9,10.448413911912745,1.226829734249841,150.85693551608142,1.6048610161285257,16.768252167603713,0.12886477459641224,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.86,3.0,10.567223122737559,1.1501786304918975,144.46446407253632,1.536856000771663,16.24030026767229,0.12348929219326461,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.91,3.1,10.678609252027833,1.0783166115949463,138.47973397719926,1.473188659331907,15.731606047524181,0.11844680160869922,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
10.96,3.2,10.783036086547963,1.0109444602916375,132.8762596259587,1.4135772300633904,15.24265428289605,0.11371721280938073,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
